title,price
"Rogue Legacy 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Inscryption (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
Deus Ex: Mankind Divided (Game),"Rp 102,000"
"Killing Floor 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Lonely Mountains: Downhill (Simplified Chinese, English, Korean, Japanese)","Rp 279,000"
"Ratchet & Clank: Rift Apart (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 1,029,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 579,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 729,000"
"Hundred Days - Winemaking Simulator (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Carto (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"Dodgeball Academia (Simplified Chinese, English, Japanese)","Rp 349,000"
"The Wild at Heart (Simplified Chinese, English, Korean, Japanese)","Rp 349,000"
Thief (Game),"Rp 52,350"
"MX vs ATV Legends (Simplified Chinese, English, Korean, Japanese)","Rp 318,450"
"HUMANITY (English, Japanese)","Rp 429,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 749,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 112,350"
"UNCHARTED: Legacy of Thieves Collection (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 729,000"
"ELEX II PS4 & PS5 (Simplified Chinese, English, Japanese)","Rp 373,050"
"Conan Exiles (Simplified Chinese, English, Korean)","Rp 699,000"
"Kena: Bridge of Spirits PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
Dishonored 2 (English/Chinese Ver.),"Rp 85,800"
TOMB RAIDER DEFINITIVE EDITION full game (English/Chinese/Korean Ver.),"Rp 74,750"
"DOOM Eternal Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 532,000"
DYNASTY WARRIORS 8 Empires full game (English Ver.),"Rp 606,000"
DYNASTY WARRIORS 8 Empires full game (Traditional Chinese),"Rp 659,000"
"DEATH STRANDING Standard Digital Edition (Simplified Chinese, English, Korean, Traditional Chinese)",Included
"DEATH STRANDING DIRECTOR’S CUT (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 729,000"
"TRIALS of MANA (Simplified Chinese, Korean, Traditional Chinese)","Rp 629,000"
TRIALS of MANA (English/Japanese Ver.),"Rp 629,000"
Wreckfest PlayStation®5 Version (English),"Rp 347,400"
Legendary Fishing Digital Edition (English/Chinese/Korean/Japanese Ver.),"Rp 345,000"
MediEvil (English),"Rp 429,000"
Dragon Star Varnir (English Ver.),"Rp 579,000"
"The Fisherman: Fishing Planet (Simplified Chinese, English, Traditional Chinese)","Rp 579,000"
"Tearaway™ Unfolded (Simplified Chinese, English, Korean)","Rp 339,000"
FINAL FANTASY VIII Remastered (English/Japanese Ver.),"Rp 285,000"
"Ghostrunner (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 422,000"
ALIENATION™ (English/Chinese/Korean Ver.),"Rp 299,000"
Death end re;Quest (English Ver.),"Rp 557,000"
"Hello Neighbor (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 107,250"
Life is Strange: Before the Storm Complete Season (English Ver.),"Rp 160,000"
Kingdom Two Crowns (English),"Rp 279,000"
DYNASTY WARRIORS 8 Empires full game (Japanese Ver.),"Rp 659,000"
"Far Cry 6 - Digital Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 187,250"
"Sakuna: Of Rice and Ruin (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 269,000"
"Bus Simulator 21 Next Stop (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
Rise of the Tomb Raider: 20 Year Celebration (Game),"Rp 455,000"
Shadow of the Tomb Raider (English Ver.),Included
"RESIDENT EVIL 7 biohazard (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Included
DRAGON BALL Z: KAKAROT PS4&PS5 (English),Included
"Last Stop (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 139,600"
"Days Gone Standard Edition (Simplified Chinese, English, Korean)","Rp 579,000"
ONINAKI (English/Japanese Ver.),"Rp 715,000"
Trials® Rising - Digital Standard Edition (English/Chinese/Japanese Ver.),"Rp 229,000"
For The King (English/Chinese/Korean/Japanese Ver.),"Rp 235,000"
Ashen (English/Chinese/Korean/Japanese Ver.),"Rp 139,500"
Darksiders III (Game),"Rp 579,000"
"Secret Neighbor (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 279,000"
FINAL FANTASY TYPE-0 HD (English Ver.),"Rp 339,000"
FINAL FANTASY TYPE-0 HD (Japanese Ver.),"Rp 339,000"
"ACE COMBAT™ 7: SKIES UNKNOWN (English, Japanese)",Included
Street Fighter V: Champion Edition (Game),"Rp 144,500"
Megadimension Neptunia™ VII (English Ver.),"Rp 139,000"
MEGADIMENSION NEPTUNIA VII (Chinese Ver.),"Rp 539,000"
Yakuza 6: The Song of Life (English Ver.),"Rp 334,400"
Middle-earth™: Shadow of War™ (English/Chinese/Korean Ver.),"Rp 149,780"
FINAL FANTASY VII (English/Japanese Ver.),"Rp 198,000"
"FINAL FANTASY VII REMAKE (Simplified Chinese, Korean, Traditional Chinese)","Rp 429,000"
WORLD OF FINAL FANTASY (Chinese/Korean Ver.),"Rp 330,000"
"Call of Cthulhu® (Simplified Chinese, English, Korean)","Rp 279,000"
Ikenie to Yuki no Setsuna (Japanese Ver.),"Rp 488,000"
KINGDOM HEARTS III (English Ver.),"Rp 724,000"
DRAGON QUEST XI S: Echoes of an Elusive Age – Definitive Edition (English),"Rp 579,000"
DRAGON QUEST BUILDERS 2 (English Ver.),"Rp 499,000"
DRAGON QUEST BUILDERS 2 (Japanese Ver.),"Rp 499,000"
DRAGON QUEST HEROES II™ (English Ver.),"Rp 635,000"
"FAR CRY 3: BLOOD DRAGON CLASSIC EDITION (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 59,600"
Space Hulk: Deathwing - Enhanced Edition (English Ver.),"Rp 107,250"
Killzone™ Shadow Fall PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 139,500"
DAMASCUS GEAR : Operation Tokyo HD Edition (Japanese Ver.),"Rp 189,000"
"Tennis World Tour 2 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 699,000"
South Park™: The Fractured but Whole™ - Digital Standard Edition (English),"Rp 172,250"
DRAGONQUEST HEROES II Futago no Ou to Yogen no Owari (Japanese Ver.),"Rp 779,000"
"Lawn Mowing Simulator PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"I Am Dead (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 111,600"
"Fade to Silence (English, Japanese, Traditional Chinese)","Rp 429,000"
Shadow of the Beast™ (English/Chinese/Korean Ver.),"Rp 299,000"
"ZOMBI (English, Japanese)","Rp 197,000"
"FORECLOSED (English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"Brothers: A Tale of Two Sons (Simplified Chinese, English, Japanese)","Rp 52,200"
Vampyr (English Ver.),"Rp 579,000"
"Stellaris: Console Edition (English, Korean, Japanese)","Rp 531,000"
ELEX (English),"Rp 829,000"
XCOM 2 (English/Chinese/Korean Ver.),"Rp 40,000"
"Moving Out (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 101,700"
"Totally Reliable Delivery Service (English, Korean, Japanese)","Rp 199,000"
FIGHTING EX LAYER (Standard Version) (English/Japanese Ver.),"Rp 449,000"
Detroit: Become Human™ Standard Edition (English/Chinese/Korean Ver.),"Rp 309,000"
"Battle Chasers: Nightwar (Simplified Chinese, English, Korean, Japanese)","Rp 429,000"
PAW Patrol On a Roll (English),"Rp 665,000"
Get Even (English Ver.),"Rp 260,000"
ADR1FT (English),"Rp 66,500"
BOUND: Shattered Kingdom (English/Chinese/Korean Ver.),"Rp 266,000"
Hue (English Ver.),"Rp 199,000"
Entwined™ full game (English Ver.),"Rp 120,000"
"11-11: Memories Retold (English, Japanese)","Rp 21,000"
TowerFall Ascension full game (English Ver.),"Rp 180,000"
"Tennis World Tour 2 - Complete Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 699,000"
FINAL FANTASY XII THE ZODIAC AGE (English/Japanese Ver.),"Rp 617,000"
"Warhammer Chaosbane (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 429,000"
"FINAL FANTASY XV ROYAL EDITION (English, Japanese)","Rp 629,000"
"Tom Clancy's The Division - Digital Standard Edition PlayStation®Hits (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 279,000"
"Bee Simulator (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 545,000"
"Werewolf: The Apocalypse – Earthblood (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 699,000"
"GRIP (Simplified Chinese, English, Korean)","Rp 577,000"
Monster Jam Steel Titans 2 (English),"Rp 173,700"
"Monster Truck Championship (Simplified Chinese, English, Korean, Thai, Traditional Chinese)","Rp 579,000"
The Last Guardian (English/Chinese/Korean Ver.),"Rp 490,000"
"Batman™: Arkham Knight PlayStation®Hits (English, Korean)","Rp 279,000"
Observation (English/Korean/Japanese Ver.),"Rp 350,000"
"This is the Police (Simplified Chinese, English)","Rp 279,000"
"Golf With Your Friends (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 271,000"
Yakuza 0 (English Ver.),"Rp 319,440"
Ryu Ga Gotoku 0: Chikai No Basyo (Japanese Ver.),"Rp 312,840"
Judgment (English Ver.),"Rp 239,000"
"Ryu Ga Gotoku 7: Hikari To Yami No Yukue International (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 258,060"
Trials Fusion (English),"Rp 199,000"
"KINGDOM HEARTS Melody of Memory (Simplified Chinese, Korean, Traditional Chinese)","Rp 699,000"
RESOGUN™ full game (English),"Rp 42,500"
Harvest Moon®: Light of Hope Special Edition (English Ver.),"Rp 556,000"
The Messenger (English/Korean/Japanese Ver.),"Rp 250,000"
FINAL FANTASY® IX (English Ver.),"Rp 199,000"
The Surge 2 (English/Chinese/Korean Ver.),"Rp 429,000"
Prison Architect: PlayStation®4 Edition (Game),"Rp 349,000"
"The Artful Escape (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 139,500"
The LEGO® Movie Videogame full game (English Ver.),"Rp 684,000"
The Technomancer (English Ver.),"Rp 162,000"
"Werewolf: The Apocalypse – Earthblood (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 699,000"
"AO Tennis 2 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 499,000"
ALIENATION™ (English),"Rp 270,000"
inFAMOUS First Light™ full game (English/Chinese/Korean Ver.),"Rp 170,000"
"AVICII Invector (Simplified Chinese, English, Korean, Japanese)","Rp 190,000"
FINAL FANTASY VII REMAKE (English/Japanese Ver.),"Rp 429,000"
WORLD OF FINAL FANTASY (English Ver.),"Rp 330,000"
The Crew (English),"Rp 289,000"
ABZU (English),"Rp 266,000"
"JUDGE EYES: wills of death Remastered (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 239,000"
ReadySet Heroes (English/Chinese/Korean Ver.),"Rp 309,000"
"This Is the Police 2 (English, Korean, Japanese, Traditional Chinese)","Rp 128,700"
South Park: The Stick of Truth (English),"Rp 359,000"
"Embr (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
Starlink: Battle for Atlas - Digital Edition (English/Chinese/Korean/Japanese Ver.),"Rp 289,000"
YAKUZA KIWAMI (English Ver.),"Rp 131,120"
Yakuza Kiwami 2 (English Ver.),"Rp 297,000"
DRAGON QUEST BUILDERS™ (English Ver.),"Rp 299,000"
DRAGON QUEST BUILDERS：Alefgard wo Fukkatsu Seyo (PS4™) (Japanese Ver.),"Rp 814,000"
DRAGON QUEST HEROES: The World Tree's Woe and the Blight Below (English Ver.),"Rp 339,000"
Dragon Quest Heroes™: Yamiryuu to Sekaiju no Shiro full game (Japanese Ver.),"Rp 339,000"
"FINAL FANTASY VII REMAKE INTERGRADE (Japanese/English Version) (English, Japanese)","Rp 579,000"
"Marvel's Guardians of the Galaxy PS4 & PS5 (English/Japanese Version) (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 829,000"
KNACK full game (English/Chinese/Korean Ver.),"Rp 299,000"
Transference™ - Digital Edition (English/Chinese/Korean/Japanese Ver.),"Rp 289,000"
"Observer: System Redux (Simplified Chinese, English, Korean, Japanese)","Rp 429,000"
The Elder Scrolls Online - PS4 (English),Included
"Eagle Flight (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 539,000"
Bomber Crew (English/Japanese Ver.),"Rp 140,000"
"Deliver Us The Moon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","Rp 235,000"
"Deliver Us The Moon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","Rp 235,000"
Valiant Hearts: The Great War full game (English),"Rp 140,000"
"Overcooked! 2 (Simplified Chinese, English, Korean, Japanese)","Rp 348,000"
"Caladrius Blaze (English, Korean)","Rp 286,000"
The MISSING: J.J. Macfield and the Island of Memories (English/Chinese/Korean/Japanese Ver.),"Rp 384,000"
"Destruction AllStars (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 279,000"
inFAMOUS Second Son™ PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 279,000"
Until Dawn™ PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 279,000"
Space Junkies™ - Digital Standard Edition (English/Chinese/Korean/Japanese Ver.),"Rp 459,000"
Star Trek: Bridge Crew - Digital Standard (English),"Rp 289,000"
Risk Urban Assault (English),"Rp 195,000"
Werewolves Within (English),"Rp 359,000"
TorqueL full game (English Ver.),"Rp 106,000"
"Tetris® Effect: Connected (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 496,000"
"Rez Infinite (Simplified Chinese, English, Korean, Japanese)","Rp 336,000"
"Portal Knights (Simplified Chinese, English, Korean)","Rp 140,000"
Child Of Light (English/Japanese Ver.),Included
"Hotshot Racing (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 190,000"
KINGDOM HEARTS Melody of Memory (English),"Rp 699,000"
"The Surge (Simplified Chinese, English, Korean)","Rp 232,000"
"OVERPASS™ (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 429,000"
"Oddworld: Soulstorm Enhanced Edition (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 579,000"
"Necromunda: Underhive Wars (Simplified Chinese, English)","Rp 69,750"
